ID,Shot,MJD,Texp,RAcen,DEcen,RAsta,DEsta,RAend,DEend,Length,PA,Area,Nifu,gmag,gSB,SNR,NORAD,Name,COSPAR,Type,Owner,Launch,Constel,Class,Resid,dPA,Uniq,MJDx,TLEage,Range,Height,Rate,Incl,Perigee,Apogee,Period,ginst,FWHM,Dither,MJDopen,MJDclos,IDsrc
0,20170322010,57834.27153587963,367.3497314453125,150.1154022216797,2.483560800552368,150.0980987548828,2.4882378578186035,150.13951110839844,2.477038860321045,154.29942321777344,105.146484375,991.75,2,13.518754959106445,21.0097599029541,57.252662658691406,,,,,,,,,,,,,,,,,,,,,,1.2910000085830688,1,57834.27153587963,57834.275788764455,
1,20171026014,58052.29149537037,366.8994445800781,20.602062225341797,0.0010922549990937114,20.574735641479492,-0.006662012077867985,20.62890625,0.008709865622222424,202.7088165283203,74.15735626220703,1172.75,2,17.414716720581055,25.087730407714844,4.752068042755127,,,,,,,,,,,,,,,,,,,,,,2.3722658157348633,1,58052.29149537037,58052.29574883871,
2,20171118003,58075.09209375,367.182373046875,7.094703197479248,0.04804031178355217,7.086389541625977,0.04758598282933235,7.1020636558532715,0.04844256117939949,56.511383056640625,86.87196350097656,534.5,1,18.36463737487793,25.184505462646484,3.862490653991699,33509,TITAN 3C TRANSTAGE DEB,1968-081K,DEBRIS,US,1968-09-26,Other,GEO,3.5150384523319644,0.5302289269081086,1,58075.095883331065,2.5325169597635977,36099.76307256804,35073.07580886977,15.595295953103589,5.5908,35063.401804189685,35512.70498009753,1410.7023501997462,13.113313229676658,1.4091846942901611,1,58075.09209375,58075.096346054495,spacetrack
3,20171221003,58108.128702546295,426.4156799316406,19.245155334472656,-0.04213857650756836,19.240583419799805,-0.03485726937651634,19.249921798706055,-0.049729395657777786,63.21871566772461,147.8756103515625,662.75,1,16.592329025268555,23.64570426940918,13.400598526000977,39362,BREEZE-M DEB (TANK),2013-058C,DEBRIS,CIS,2013-10-25,Other,HEO,143.61733842097806,0.07421706689109442,1,58108.13151889961,-10.25128040893469,7064.00704206589,6502.828146459354,148.3511762278023,49.5175,308.1223287932289,14899.849987110787,274.23275184493747,9.128766514131687,3.0842151641845703,1,58108.128702546295,58108.13363540691,spacetrack
4,20180408006,58216.18636342593,367.5830078125,200.56573486328125,51.212581634521484,200.5066680908203,51.226844787597656,200.6460723876953,51.193180084228516,336.95355224609375,111.08067321777344,1681.25,3,15.422791481018066,23.48687171936035,22.703195571899414,39524,BREEZE-M DEB (TANK),2014-007C,DEBRIS,CIS,2014-02-14,Other,HEO,32.12102975277844,1.3532418549347227,1,58216.197642124615,-3.6545343377511017,22741.08306976276,21856.85833705416,17.77804329579758,49.3725,255.95040646453162,21909.762322087037,382.7040660600796,11.273452958534438,2.438800096511841,1,58216.18636342593,58216.190615747386,spacetrack
5,20180411004,58219.13608217592,367.799072265625,185.0360870361328,51.0135383605957,185.03231811523438,51.004695892333984,185.03988647460938,51.02240753173828,66.02590942382812,15.047496795654297,489.75,1,17.997041702270508,24.72197723388672,5.53501558303833,14450,COSMOS 1506,1983-108A,PAYLOAD,CIS,1983-10-26,Cosmos,LEO,46.11045663422715,0.15782169210763186,1,58219.13933085003,10.971395902102813,1153.2480287154049,963.0588227389171,1241.1359400370197,82.9313,944.731248253609,1009.8355274883324,104.63351181683869,7.898720067338168,1.703434705734253,1,58219.13608217592,58219.140347788416,spacetrack
6,20180414011,58222.39322337963,368.1324768066406,204.10914611816406,51.09366989135742,204.0232391357422,51.048805236816406,204.23744201660156,51.16067123413086,629.8816528320312,50.25554275512695,1449.0,3,17.2349853515625,25.137657165527344,7.932297229766846,38774,BEIDOU 14,2012-050A,PAYLOAD,PRC,2012-09-18,GPS/GNSS,MEO,13.927890245207664,0.01191263504016149,1,58222.39504500248,2.2918886311235838,22444.368247148675,21589.035016190675,31.21945574751439,54.7657,21431.377228217243,21620.617472992577,773.147782876586,12.312883628990583,1.9110593795776367,1,58222.39322337963,58222.39748552004,spacetrack
7,20180515010,58253.27261458334,367.8153381347656,191.5584259033203,51.292030334472656,191.5171356201172,51.32122039794922,191.60035705566406,51.262393951416016,282.7533264160156,138.50169372558594,1090.25,2,17.397480010986328,24.991294860839844,7.792150497436523,40001,COSMOS 2500 (GLONASS),2014-032A,PAYLOAD,CIS,2014-06-14,Cosmos,MEO,17.98389677447858,0.22635819686567515,1,58253.28151747779,-1.971665199904237,20024.70491736212,19126.608724632588,39.557057971145376,65.39760000000001,19117.75936285279,19141.879684650456,675.729969969997,11.909525922877146,1.7310575246810913,1,58253.27261458334,58253.27687094872,spacetrack
8,20180517021,58255.39819212963,367.6156005859375,235.32589721679688,51.08430480957031,235.26661682128906,51.133148193359375,235.3765869140625,51.04254913330078,410.1379089355469,142.6772003173828,1301.25,3,16.3815975189209,24.167499542236328,15.595314979553223,10961,COSMOS 1023,1978-063A,PAYLOAD,CIS,1978-06-21,Cosmos,LEO,25.0128853370029,0.2118668061207245,1,58255.40114087992,0.601935351092834,939.2786448310793,778.1565970432848,1438.3258074152886,74.0756,757.6698503930584,782.7634239802383,100.2463553486538,7.184146825859115,1.440784215927124,1,58255.39819212963,58255.40244730116,spacetrack
9,20180612018,58281.25248148148,367.4659118652344,212.10963439941406,51.33517074584961,212.1042022705078,51.45370864868164,212.11476135253906,51.22349166870117,829.1232299804688,178.35879516601562,1568.5,4,17.011154174804688,24.99986457824707,9.112275123596191,11051,SL-8 R/B,1978-091J,ROCKET BODY,CIS,1978-10-04,Other,LEO,6.091452691021004,0.03908125768953141,1,58281.25404259082,-8.298991884570569,1898.0076645665933,1648.1001596245305,731.50841887687,74.0421,1481.7719874738923,1698.987322152374,117.98472745056839,8.750607793468047,1.6286544799804688,0,nan,nan,spacetrack
10,20180613021,58282.2883900463,367.798583984375,226.03457641601562,51.445640563964844,225.99742126464844,51.44157409667969,226.08004760742188,51.45062255859375,188.25755310058594,80.03569030761719,1055.0,2,17.1163387298584,24.674468994140625,8.673943519592285,32261,DELTA 2 R/B(2) (PAM-D),2007-047B,ROCKET BODY,US,2007-10-17,Other,MEO,127.27127358080566,0.022478789970563184,1,58282.29202031223,-3.5310296089737676,2406.4896061135382,2099.1039819723146,455.83407059563376,39.7,191.82238893319845,4142.043154495532,131.01861294088312,8.938743555128598,1.9972349405288696,1,58282.2883900463,58282.292649876705,spacetrack
11,20180805009,58335.144534722225,367.9481506347656,265.7319641113281,66.02758026123047,265.4670104980469,65.99874114990234,265.98785400390625,66.05542755126953,788.6751708984375,75.00498962402344,2539.5,5,13.826506614685059,22.338376998901367,58.23493194580078,25847,MOLNIYA 3-50,1999-036A,PAYLOAD,CIS,1999-07-08,Other,HEO,28.474793630630302,0.04322445564598354,1,58335.146350559065,4.473181493289303,39468.47720666336,38428.790614773905,6.28468578040736,62.091100000000004,1115.990107965993,39243.998397942625,717.8867710697374,11.253958868418685,1.547593593597412,1,58335.144534722225,58335.14879107419,spacetrack
12,20180820022,58350.414842592596,547.7986450195312,33.29850769042969,-0.15854889154434204,33.203529357910156,-0.17003856599330902,33.39349365234375,-0.14705890417099,688.8574829101562,83.10254669189453,1211.0,2,16.32775115966797,24.035612106323242,10.828577995300293,,,,,,,,,,,,,,,,,,,,,,1.2021461725234985,1,58350.414842592596,58350.42118864738,
13,20180914016,58375.440398148145,366.9659729003906,32.16366195678711,0.38283976912498474,32.15089797973633,0.3469921946525574,32.1749267578125,0.4144802689552307,257.8943176269531,19.59614372253418,1697.5,3,15.990546226501465,24.06507110595703,19.711563110351562,29668,MERIDIAN 1,2006-061A,PAYLOAD,CIS,2006-12-24,Other,HEO,75.1446077940102,0.26981743358789245,1,58375.44369635365,-23.685284924518783,19282.30725986288,18448.182200933396,32.708938007377604,64.2038,555.8019012652449,39799.01777269483,717.7819854755919,11.18969520760485,1.4554356336593628,1,58375.440398148145,58375.44464526077,spacetrack
14,20180915023,58376.45631944444,427.5662536621094,36.52210235595703,0.2615971565246582,36.42995071411133,0.3067000210285187,36.61825180053711,0.21453700959682465,754.714111328125,116.07958221435547,4332.25,8,14.205050468444824,23.296833038330078,48.55382537841797,,,,,,,,,,,,,,,,,,,,,,1.2000000476837158,1,58376.45631944444,58376.461276066744,
15,20180915023,58376.45631944444,427.5662536621094,36.5079460144043,0.32086417078971863,36.50556564331055,0.37618619203567505,36.5106086730957,0.25893333554267883,422.5006103515625,177.5369873046875,1307.5,2,15.104181289672852,22.895286560058594,47.529056549072266,11309,SL-8 R/B,1979-026B,ROCKET BODY,CIS,1979-03-21,Other,LEO,12.7872347983498,0.014417947413164711,1,58376.45888162972,0.06638818653300405,1167.3270442131338,982.9297562889369,1160.485863731081,82.9696,961.008214375951,987.2263460071144,104.56596053104084,6.144976530141619,1.2000000476837158,1,58376.45631944444,58376.461276066744,spacetrack
16,20181107008,58429.12758680555,368.1323547363281,8.697456359863281,-0.15569448471069336,8.611406326293945,-0.11065146327018738,8.783522605895996,-0.20074580609798431,699.3713989257812,117.62992095947266,2501.5,4,17.394914627075195,25.89041519165039,3.9652512073516846,14136,PALAPA B1 R/B(PAM-D),1983-059E,ROCKET BODY,US,1983-06-18,Other,HEO,35.6523462864061,0.15154074393389294,1,58429.12756338106,2.7608523733215407,28094.379227926132,27063.331854779124,11.307034082459111,25.4206,343.936647121659,31651.056984220668,555.1657829121359,14.168334774955788,1.7688871622085571,1,58429.12758680555,58429.13183795505,spacetrack
17,20181119016,58441.48369907407,367.9993591308594,150.27154541015625,2.259432792663574,150.22213745117188,2.2105178833007812,150.33395385742188,2.321218252182007,566.2398681640625,45.26713180541992,2080.25,4,16.102846145629883,24.398134231567383,9.737411499023438,25963,GLOBALSTAR M029,1999-062C,PAYLOAD,GLOB,1999-11-22,Globalstar,LEO,3.561690101480508,0.17628071732553252,0,58441.485792265055,-8.75647310219938,1950.9467877599825,1677.0125775177503,713.253603591226,51.9788,1678.6842919323535,1684.516316398448,120.01648376397631,8.176315668965572,1.2000000476837158,1,58441.48369907407,58441.48796064122,spacetrack
18,20181119016,58441.48369907407,367.9993591308594,150.2738800048828,2.2538082599639893,150.2454376220703,2.225658655166626,150.33694458007812,2.316250801086426,463.3863830566406,45.267242431640625,1579.0,4,15.052051544189453,23.04800796508789,29.298940658569336,25963,GLOBALSTAR M029,1999-062C,PAYLOAD,GLOB,1999-11-22,Globalstar,LEO,16.854697227324777,0.17665336152947475,0,58441.485792265055,-8.75647310219938,1950.9467877599825,1677.0125775177503,713.253603591226,51.9788,1678.6842919323535,1684.516316398448,120.01648376397631,6.826187565840726,1.2000000476837158,1,58441.48369907407,58441.48796064122,spacetrack
19,20181130014,58452.11558449074,367.39990234375,26.832988739013672,-0.17221137881278992,26.685182571411133,-0.2180810421705246,26.913724899291992,-0.1471565067768097,861.4606323242188,72.75909423828125,2332.25,4,17.350446701049805,25.76988410949707,4.632152557373047,,,,,,,,,,,,,,,,,,,,,,1.458311676979065,1,58452.11558449074,58452.119843170025,
20,20181130017,58452.16195486111,487.2322692871094,10.093618392944336,0.13821280002593994,9.981891632080078,0.10413461923599243,10.187145233154297,0.1667400300502777,772.5180053710938,73.0374526977539,3455.5,5,15.746565818786621,24.59284210205078,18.373512268066406,19777,SL-12 R/B(2),1988-095F,ROCKET BODY,CIS,1988-10-20,Other,GEO,1.8974142989463871,0.054574381308896136,1,58452.16635585942,-11.59494909318164,37412.876705178576,36507.117984041724,14.71950104595417,15.4495,36397.90990264302,36509.632646970225,1470.316515036192,12.584400973109581,1.4012103080749512,1,58452.16195486111,58452.16759317194,spacetrack
